length,weight,count,looped,neighbors,income,label
14,0.0078125,1,0,2,244000000.0,montrealCryptoLocker
2,0.75,1,1,2,650000000.0,princetonLocky
14,0.0078125,1,0,2,4089000000.0,white
2,1.0,1,0,2,4965000000.0,white
8,0.125,1,0,2,270000000.0,princetonCerber
16,0.000390625,1,0,1,400000000.0,princetonLocky
8,0.125,1,0,1,308000000.0,paduaCryptoWall
86,0.755098125785491,9,0,2,82050000.0,paduaCryptoWall
84,1.61459176290367,55,0,2,146000000.0,white
0,0.5,1,0,1,3000000000.0,white
2,0.25,1,0,1,47000000.0,white
138,1.0,1,0,2,30210000000.0,white
18,0.0009765625,1,0,2,120000000.0,montrealCryptXXX
38,1.0,1,0,2,9841000000.0,white
0,1.0,1,0,1,180108785.0,montrealRazy
8,0.28125,2,0,4,4490000000.0,paduaCryptoWall
6,6.25,8,1,5,920000000.0,white
0,0.5,1,0,1,3272000000.0,white
0,0.5,1,0,2,4000000000.0,white
30,0.0078125,1,0,1,120000000.0,montrealCryptXXX
0,0.5,1,0,2,410000000.0,princetonLocky
4,0.25,1,0,2,161600000.0,princetonCerber
38,6.103515625e-05,1,0,2,1516000000.0,white
24,0.00390625,1,0,1,506000000.0,white
2,0.5,1,0,2,4930000000.0,white
0,1.0,1,0,1,37241379.0,paduaCryptoWall
0,0.333333333333333,1,0,1,200000000.0,princetonLocky
2,0.25,1,0,2,298900000.0,montrealCryptoLocker
8,0.375189393939394,3,0,1,700000000.0,princetonLocky
2,0.25,1,0,1,771000000.0,white
10,1.0,3,0,2,103980000.0,paduaCryptoWall
0,1.0,1,0,2,30225152.0,paduaCryptoWall
10,0.03125,1,0,2,4366000000.0,white
14,0.00390625,1,0,1,601000000.0,white
144,0.0013664475318662,3744,0,2,410000000.0,princetonLocky
2,1.0,1,0,1,81000000.0,paduaCryptoWall
0,1.0,1,0,1,75000000.0,white
28,0.0009765625,1,0,1,119000000.0,paduaCryptoWall
24,0.0078125,1,0,2,212000000.0,white
144,0.0416808555265564,4407,0,1,50000000.0,princetonLocky
2,0.5,1,0,1,4888000000.0,white
16,0.0625,1,0,2,100000000.0,princetonCerber
0,1.0,1,0,1,10000000000.0,white
0,1.0,1,0,2,370000000.0,paduaCryptoWall
14,0.00390625,1,0,1,1067000000.0,white
144,0.143167827069558,2990,0,2,120000000.0,montrealCryptXXX
0,0.5,1,0,2,125000000.0,princetonCerber
